Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,Saskatchewan,142,Métaux non ferreux,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Saskatchewan,143,Produits chimiques,FALSE,24.687842,0.000499426,0.01248565,0.000445434,0.132739332,0,0,0,0,24.83306698,kt
1990,Saskatchewan,144,Pâtes et papiers,FALSE,292.2182263,0.028390237,0.709755931,0.02460817,7.333234764,0,0,0,0,300.261217,kt
1990,Saskatchewan,145,Ciment,FALSE,21.123121,0.000427313,0.010682825,0.000392666,0.117014468,0,0,0,0,21.25081829,kt
1990,Saskatchewan,146,Autres industries manufacturières,FALSE,441.9405678,0.008930501,0.223262537,0.01017744,3.032877146,0,0,0,0,445.1967075,kt
1990,Saskatchewan,150,Construction,FALSE,69.5661395,0.00115336,0.028834,0.002837637,0.845615826,0,0,0,0,70.44058933,kt
1990,Saskatchewan,160,Commercial et institutionnel,FALSE,978.0694541,0.019248237,0.481205925,0.021546348,6.420811704,0,0,0,0,984.9714717,kt
1990,Saskatchewan,170,Résidentiel,FALSE,2042.226141,2.980449483,74.51123707,0.071524504,21.31430211,0,0,0,0,2138.05168,kt
1990,Saskatchewan,180,Agriculture et foresterie,FALSE,293.8065366,0.005291817,0.132295423,0.007107909,2.118156794,0,0,0,0,296.0569888,kt
1990,Saskatchewan,256,Transport par pipeline,FALSE,1540.012474,1.599059779,39.97649448,0.042190351,12.5727246,0,0,0,0,1592.561693,kt
1990,Alberta,110,Production de chaleur et d'électricité du secteur public ,FALSE,39404.06421,0.896414176,22.41035441,0.727200894,216.7058664,0,0,0,0,39643.18043,kt
1990,Alberta,120,Industries de raffinage du pétrole ,FALSE,2986.811355,0.06496419,1.624104744,0.013040866,3.886178214,0,0,0,0,2992.321638,kt
1990,Alberta,130,Extraction de pétrole et de gaz,FALSE,27832.66667,49.07946641,1226.98666,0.548248073,163.3779257,0,0,0,0,29223.03126,kt
1990,Alberta,131,Exploitation minière,FALSE,247.2521489,0.003250242,0.081256061,0.003741443,1.114950012,0,0,0,0,248.4483549,kt
1990,Alberta,141,Sidérurgie,FALSE,64.74830557,0.001249592,0.0312398,0.001102378,0.328508739,0,0,0,0,65.10805411,kt
1990,Alberta,142,Métaux non ferreux,FALSE,97.144208,0.001864282,0.04660705,0.001662738,0.495495924,0,0,0,0,97.68631097,kt
1990,Alberta,143,Produits chimiques,FALSE,4830.412858,0.092699832,2.317495796,0.082678228,24.63811206,0,0,0,0,4857.368466,kt
1990,Alberta,144,Pâtes et papiers,FALSE,426.4403749,0.044876212,1.121905309,0.038334285,11.4236169,0,0,0,0,438.9858971,kt
1990,Alberta,145,Ciment,FALSE,340.126192,0.006527318,0.16318295,0.005998076,1.787426648,0,0,0,0,342.0768016,kt
1990,Alberta,146,Autres industries manufacturières,FALSE,4629.335611,0.090668561,2.266714015,0.085921447,25.60459113,0,0,0,0,4657.206916,kt
1990,Alberta,150,Construction,FALSE,235.9875676,0.003964593,0.099114825,0.007825542,2.332011516,0,0,0,0,238.4186939,kt
1990,Alberta,160,Commercial et institutionnel,FALSE,5012.362558,0.095454235,2.386355863,0.098672778,29.40448796,0,0,0,0,5044.153401,kt
1990,Alberta,170,Résidentiel,FALSE,6606.335754,7.464810333,186.6202583,0.203099428,60.52362964,0,0,0,0,6853.479642,kt
1990,Alberta,180,Agriculture et foresterie,FALSE,473.0836042,0.008724374,0.218109341,0.0124868,3.721066296,0,0,0,0,477.0227799,kt
1990,Alberta,256,Transport par pipeline,FALSE,1259.322892,1.237667467,30.94168668,0.0331023,9.864485251,0,0,0,0,1300.129064,kt
1990,Colombie-Britannique,110,Production de chaleur et d'électricité du secteur public ,FALSE,793.4420695,0.184871273,4.621781825,0.030452155,9.07474219,0,0,0,0,807.1385935,kt
1990,Colombie-Britannique,120,Industries de raffinage du pétrole ,FALSE,1232.037466,0.02845651,0.711412745,0.010428447,3.107677331,0,0,0,0,1235.856556,kt
1990,Colombie-Britannique,130,Extraction de pétrole et de gaz,FALSE,1984.134716,5.72040272,143.010068,0.056874241,16.94852386,0,0,0,0,2144.093308,kt
1990,Colombie-Britannique,131,Exploitation minière,FALSE,612.8010673,0.011644289,0.291107218,0.018748824,5.587149676,0,0,0,0,618.6793242,kt
1990,Colombie-Britannique,141,Sidérurgie,FALSE,5.423616,0.000104192,0.0026048,0.000092928,0.027692544,0,0,0,0,5.453913344,kt
1990,Colombie-Britannique,142,Métaux non ferreux,FALSE,319.8330583,0.004512245,0.112806135,0.003423375,1.020165631,0,0,0,0,320.9660301,kt
